word,tweet_id,user_id,X_tweet_location,Y_tweet_location,day,month,year,hour,minutes,seconds,day_of_week,X_favoured_location,Y_favoured_location,tweet_count_at_location,text
exhibit,2.44918E+17,33975114,440722,428434,9,9,2012,22,57,58,1,440700,428400,3443,@RachGreaux @lawrenx exhibit 1 here_ tarnishing me with the same old brush #AGuyCanChange
exhibit,1.44527E+17,20375397,430270,433113,7,12,2011,21,22,6,4,430200,433100,1916,Remember the case I made the other day of deleting my Facebook because of the absolute dross? Observe_ exhibit two... http://t.co/MEAOoWW6
exhibit,1.75211E+17,20375397,429167,433918,1,3,2012,13,28,22,5,430200,433100,1916,Exhibit A : a guy who has just passed me in Leeds. 13 degrees is not shorts and tshirt weather. Crazy fool! http://t.co/69Pt2pnj
exhibit,2.09957E+17,20612726,431273,434086,5,6,2012,11,36,47,3,419000,442100,908,I must exhibit helplessness too well. Woman who changed my coin_ spotted me from a bus stop in front of the car park. Thank you anyway
exhibit,2.43814E+17,28142558,431728,434938,6,9,2012,21,54,24,5,431700,434900,604,@rache_elizdakin get some kip. Leeds beerfest starts tmoro if your north n really good postwar painters n sculpturs exhibit at Hepworth
exhibit,1.78526E+17,222752457,443743,424113,10,3,2012,17,1,21,7,428800,431100,302,Had a day out planned for me & Stu this Sat_afternoon looking at new Joan Mirâ€” exhibit at YSP dinner there_then concert in the chapel...
exhibit,1.15813E+17,48714663,430440,434066,19,9,2011,16,41,0,2,430400,434000,196,@mdhendry Anatomy of an Angel is brilliant. Went to the exhibit a month or two ago.
exhibit,1.41462E+17,204520220,432489,431401,29,11,2011,10,20,39,3,428200,429400,135,I see that life cannot exhibit all to me_ as day cannot_ I see that I am to wait for what will be exhibited by death.
exhibit,1.23451E+17,247694514,421317,434583,10,10,2011,18,34,11,2,421300,434500,95,@helendaykin @lordlangley73 u want to swop and take stage and we'll have your exhibit #whathaveiagreedto : )
exhibit,1.91999E+17,316496768,418727,427349,16,4,2012,22,17,31,2,418700,427300,67,#8outof10cats repeats on 4music Sean Lock is hilarious #jedwardbanter  your best chance of getting into Uni is as an exhibit in a jar!  haha
exhibit,2.00642E+17,84553443,429684,433837,10,5,2012,18,42,37,5,430200,433200,28,Diamond Jubilee Exhibition...Royal visits to Leeds...hoping to exhibit next! (@ Leeds Town Hall) http://t.co/zqJZcbXm
exhibit,2.24942E+17,37530200,429830,434030,16,7,2012,20,3,37,2,423300,434200,25,Strange exhibit   @ Leeds City Museum http://t.co/nnRjmK1m
exhibit,2.2012E+17,407384454,415065,422944,3,7,2012,12,41,41,3,414300,424100,24,@graceperryman EXHIBIT A
exhibit,1.87479E+17,14742894,416086,432762,4,4,2012,10,57,15,4,437600,433300,8,Outstanding exhibit on personal technology at the National Media Museum. Baby cinema next at the Cubby Broccoli :) http://t.co/eI7lFqzg
exhibit,8.39489E+16,61073310,430067,433539,23,6,2011,18,25,45,5,427500,431400,8,in Pizza Express after a hilarious time at the Spice Girls exhibit
exhibit,1.1079E+17,17123109,429378,434319,5,9,2011,20,1,49,2,429300,434300,2,Ready for #altc11. Conference starts tomorrow. Reception in Exhibit Hall now. Seb says we should talk to strangers.
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,432600,420700,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,428900,428100,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,429900,433300,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,430000,433500,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,429700,433900,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,431300,434500,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,429800,433300,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,432200,419900,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,431400,434600,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,430400,434000,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibit,1.98426E+17,14228133,430014,433529,4,5,2012,15,56,11,6,430100,433800,1,@CraigDoesStuff alright mate_ Jim here @ryandc mate met you in bham at papergirl exhibit - I'm in Leeds with an hr to kill_ you recommend?
exhibition,1.77471E+17,348334015,429765,434290,7,3,2012,19,9,8,4,429700,434200,3242,RT @F1: Unique F1 art collection unveiled in London: A unique exhibition of Formula One-inspired artwork was... http://t.co/iD3d7gVP
exhibition,1.87524E+17,348334015,428327,433996,4,4,2012,13,57,5,4,429700,434200,3242,SEO News:  SEO Positive Enhances SMO Campaign of Top UK Digital Exhibition - PR Web (press release) http://t.co/rFvJzGH9 #seojoe
exhibition,1.04825E+17,108035756,431615,426554,20,8,2011,9,0,49,7,431600,426500,3118,Off to see the Damien Hurst exhibition at the Art Gallery today
